"","sample","freq.perc","isotype","timepoint","cohort"
"1","B05",6.31450194939225,"IGHA1","1.PRE","1.Measles"
"2","B05",0.940295084473664,"IGHA2","1.PRE","1.Measles"
"3","B05",26.1142114517239,"IGHD","1.PRE","1.Measles"
"4","B05",5.78701934102897,"IGHD/IGHM","1.PRE","1.Measles"
"5","B05",0.244629615472823,"IGHG1","1.PRE","1.Measles"
"6","B05",0.0917361058023087,"IGHG2","1.PRE","1.Measles"
"7","B05",0.428101827077441,"IGHG3","1.PRE","1.Measles"
"8","B05",60.0795046250287,"IGHM","1.PRE","1.Measles"
"9","B05",14.7613762486127,"IGHA1","2.POST","1.Measles"
"10","B05",10.7658157602664,"IGHA2","2.POST","1.Measles"
"11","B05",11.9126896041435,"IGHD","2.POST","1.Measles"
"12","B05",1.22086570477248,"IGHD/IGHM","2.POST","1.Measles"
"13","B05",2.83018867924528,"IGHG1","2.POST","1.Measles"
"14","B05",2.57121716611173,"IGHG2","2.POST","1.Measles"
"15","B05",0.924898261191269,"IGHG3","2.POST","1.Measles"
"16","B05",55.0129485756567,"IGHM","2.POST","1.Measles"
"17","B07",27.4503523382447,"IGHA1","1.PRE","1.Measles"
"18","B07",9.41704035874439,"IGHA2","1.PRE","1.Measles"
"19","B07",8.36002562459961,"IGHD","1.PRE","1.Measles"
"20","B07",0.51249199231262,"IGHD/IGHM","1.PRE","1.Measles"
"21","B07",3.07495195387572,"IGHG1","1.PRE","1.Measles"
"22","B07",3.52338244714926,"IGHG2","1.PRE","1.Measles"
"23","B07",0.896860986547085,"IGHG3","1.PRE","1.Measles"
"24","B07",0.448430493273543,"IGHG4","1.PRE","1.Measles"
"25","B07",46.316463805253,"IGHM","1.PRE","1.Measles"
"26","B07",23.3943661971831,"IGHA1","2.POST","1.Measles"
"27","B07",12.6197183098592,"IGHA2","2.POST","1.Measles"
"28","B07",5.80281690140845,"IGHD","2.POST","1.Measles"
"29","B07",0.830985915492958,"IGHD/IGHM","2.POST","1.Measles"
"30","B07",4.25352112676056,"IGHG1","2.POST","1.Measles"
"31","B07",3.74647887323944,"IGHG2","2.POST","1.Measles"
"32","B07",0.943661971830986,"IGHG3","2.POST","1.Measles"
"33","B07",0.197183098591549,"IGHG4","2.POST","1.Measles"
